"Bond Rating","Cash","Earnings Before Interest","Gross Profit (Loss)","Retained Earnings","EBTI Margin (Revenue)","Dividends per Share - Pay Date - Calendar","Total Stockholders Equity","Total Market Value (Fiscal Years)","Total Revenue","Financing Activities - Net Cash Flow","Net Cash Flow","Debt to Equity Ratio","Return on Asset","Interest Coverage","Current Ratio","Return on Equity","Quick Ratio","Risk Rating"
"BB-",118.039,1079.124,1194.075,-3670.114,0.658615273,0,-1706.144,13211.817,1638.474,88.937,826.11,-4.996138661214997,0.14576423891512,0.31861491357805033,0.20169676879175708,-0.49834597783071066,0.20169676879175708,"High Risk"
"BBB",1420.9,1083.5,3246.8,-3760.4,0.223043353,0.4,4574.4,10598.4,4857.8,-581.4,311.1,0.37040923399790143,0.12570772229441246,0.07891093677895708,0.6328710006807352,0.6910851696397343,0.6045353982300885,"Medium Risk"
"B",0.098,49.668,64.814,1.768,0.186871442,0.26,209.821,126.9004,265.787,-6.882,29.248,1.2937408553004706,0.08314375392341494,0.33828622050414753,0.008535745047372955,0.228823616320578,0.0008440999138673558,"High Risk"
"BBB-",1183.797,840.874,1417.148,1294.484,0.20869166,0.56,1959.993,2504.6314,4029.265,-259.03,617.411,0.5271758623627737,0.16394425138193933,0.06183803994415334,0.5711359369220469,0.6965075895679218,0.5542717614724432,"Medium Risk"
"BB",255.53,308.795,617.168,597.665,0.428397023,1.215,890.208,3947.3263,720.815,-67.363,161.698,0.6754983105072072,0.17223521196206304,0.13749574960734467,0.8480071682208874,0.6455906934109782,0.8480071682208874,"High Risk"
"BBB",293.4,598.6,1087.9,-1.9,0.272984312,1.8675,4202.9,4520.0829,2192.8,929.6,1430.8,0.888053486878108,0.059270260904005154,0.24457066488473103,0.22983088439146104,0.2240119917200029,0.13556972553368452,"Medium Risk"
"BBB",38.9,435.3,1015.8,942,0.125540751,1.32,101.6,5580.2822,3467.4,-248.7,82.5,5.005905511811024,0.25907630044042373,0.057891109579600274,0.42775700934579436,9.749999999999998,0.03635514018691589,"Medium Risk"
"BB+",37.422,280.606,552.624,198.535,0.344168818,1.1358,1219.911,1245.8165,815.315,-155.611,54.752,0.5354013530495257,0.10660880685412344,0.18152142149490746,0.0493004505572682,0.4112496731318924,0.0493004505572682,"High Risk"
"B",282.9,-37.9,-3.6,-1118.7,-0.106520517,0.0754,1724.2,845.7603,355.8,40.4,100.4,0.18269342303677066,-0.015392738201608318,-0.8073878627968338,0.966903073286052,-0.019835285929706545,0.6687943262411347,"High Risk"
"BBB-",37.656,316.706,366.389,-1174.318,0.316091203,1.56,3359.76,3524.0845,1001.945,817.636,1223.157,1.0038350953639545,0.04408504591745688,0.4764071410077485,0.08338906481830059,0.06414386741910136,0.08338906481830059,"Medium Risk"
"B",44.9,74.6,193.9,-209.8,0.08902148,0,109.1,336.896,838,-72.7,-29,3.2465627864344637,0.10855646100116413,0.36595174262734587,0.5663242518981688,1.5270394133822178,0.20053595355069226,"High Risk"
"B",17.772,69.712,150.378,-1156.738,0.219018326,0,114.436,358.2144,318.293,15.29,55.498,3.1956115208500817,0.1254817254817255,0.3958572412210236,0.2356091740686729,1.072931594952637,0.2356091740686729,"High Risk"
"B-",28.5,20.4,171.4,-619,0.031045503,0,254.2,242.474,657.1,-214.7,0.9,1.7470495672698665,0.022583859182995682,1.7647058823529413,0.41024390243902437,0.5326514555468135,0.13902439024390245,"High Risk"
"BBB-",1676.299,961.195,5408.209,222.772,0.144057154,0.84,4929.767,18677.1937,6672.317,1404.199,2772.244,0.6493769380986972,0.0619973333009972,0.13128969667965396,0.24966139383315286,1.0714530727314293,0.24966139383315286,"Medium Risk"
"BBB+",2003,859,2263,5190,0.212729074,0.4,4170,12536.32,4038,-258,233,0.39688249400479614,0.11485492712929536,0.07683352735739232,1.5380894800483675,0.5268585131894484,1.2110036275695284,"Medium Risk"
"BBB-",461.207,27.817,27.817,-298.548,0.010800885,0.54,1242.57,2490.8669,2575.437,-291.925,-79.061,0.6767240477397651,0.0069691395666842204,2.4934033145198975,0.2666695482100213,-0.03343232172030549,0.249185243616481,"Medium Risk"
"BBB",184.2,1121.5,1572.8,1192.4,0.195325426,2.05,1633.3,6060.9335,5741.7,-405.2,357.4,1.4230698585685424,0.2122204140332286,0.0780205082478823,0.6488319517709118,0.909385905834813,0.1388093443858327,"Medium Risk"
"BBB",28,937,1080,-1667,0.202157497,1.7925,7424,11245.95,4635,1072,1873,0.4469288793103448,0.07243351886209029,0.18569903948772679,0.0674567000911577,0.12203663793103449,0.01276207839562443,"Medium Risk"
"A",6678,2060,2060,10350,0.114884836,1.51,21418,17391.836259134452,17931,-1106,3355,0.3669343542814455,0.008345047457393671,0.1563106796116505,0.03073100020708221,0.08114669903819217,0.03073100020708221,"Low Risk"
"BBB-",718.4,702.7,1942.3,3154.2,0.281790111,0,2503.1,17012.292,2493.7,-158.6,391.1,0.23966281810554912,0.173108664055379,0.024477017219296994,1.1066610896162292,0.7690863329471456,0.7512286939245006,"Medium Risk"
"BB+",712.1,406.7,1278.3,601.4,0.167974558,1,1864.1,4910.3616,2421.2,-327.2,-178.4,0.9141140496754466,0.08147524891319591,0.2453897221539218,0.7339842652430459,0.6322085725014752,0.5002107333520652,"High Risk"
"A-",12752,9803,9803,40290,0.140233174,1.475,68419,52935.9781,69905,-1295,12834,0.35159824025489994,0.011166000138962769,0.1329184943384678,0.016236705497077213,0.1242344962656572,0.016236705497077213,"Low Risk"
"BB+",617.6,615.1,1394.9,-751.7,0.175954002,0,1631.9,4037.992,3495.8,-99.8,370.8,0.5211716404191433,0.15895699813934258,0.08079986993984718,0.986159169550173,0.8243152153931,0.44521337946943484,"High Risk"
"BB-",936,2301,3649,-440,0.412661406,0.42,5614,5455.494,5576,8275,9576,2.7623797648735304,0.08495790872840053,0.32637983485441113,0.15699429721569944,0.516209476309227,0.15699429721569944,"High Risk"
"BB-",1518,-927,-927,-3180,-0.063172959,0.58,5736,3698.0163,14674,-432,877,3.3094490934449095,-0.028191715832370293,-1.249190938511327,0.34054585689697564,-0.3634937238493724,0.18662404720924514,"High Risk"
"B+",5.767,-32.878,8.4,-545.806,-0.073700964,0.06,504.616,111.01,446.1,-94.013,42.034,0.5390653487007944,-0.037396380246958516,-0.5432203905347041,0.12046030817242051,-0.018746928357404487,0.056241466744685,"High Risk"
"B+",2728,270,515,1004,0.083204931,0,1199,4559.39,3245,-774,-436,0.28940783986655544,0.05766766339171294,0.07037037037037037,0.9295280612244898,0.41367806505421184,0.8698979591836735,"High Risk"
"BBB-",117.947,317.678,594.997,-125.01,0.233021003,0,737.556,3754.0522,1363.302,4.548,290.906,1.1470274799472853,0.15357914466397585,0.046509358532854025,0.4632599466013044,0.7866819604206324,0.258123604849652,"Medium Risk"
"BBB",364.4,356.4,356.4,1580.9,0.331165211,0.35,1672.1,2587.7835,1076.2,-207.2,67.2,0.1801925722145805,0.12411631551453943,0.0777216610549944,0.41583932443227206,0.1965791519645954,0.41583932443227206,"Medium Risk"
"BB",349.825,232.389,524.536,-47.191,0.214951888,0,802.883,1867.3013,1081.121,-92.787,28.131,0.7688380498777531,0.14016731606692642,0.16638911480319638,2.1996088657105606,0.6051554211510268,1.4712747613239685,"High Risk"
"BB-",47.924,69.934,136.569,-742.964,0.275185532,0.1063,167.273,684.3242,254.134,-31.923,30.36,1.870074668356519,0.13240361386476027,0.18656161523722367,0.9963409563409563,0.7384455351431491,0.9963409563409563,"High Risk"
"BBB",768.77,750.459,1675.709,1022.801,0.338080839,0,1848.553,28136.0659,2219.762,-418.762,240.834,0.5494292021922011,0.2035006739887525,0.05612698361935829,1.3142187104930467,0.8837117464308569,0.9718963337547408,"Medium Risk"
"BB",2228.838,1134.645,1959.941,-2085.747,0.41625105,17.7051,2745.386,18779.04,2725.867,1873.182,2767.975,2.0268705384233767,0.10955666841593771,0.273211444989402,1.0889538150353972,0.6009876206843046,1.0889538150353972,"High Risk"
"B+",135.599,104.079,307.776,-318.37,0.188759215,0,658.425,963.756,551.385,-43.838,24.086,0.8771583703534952,0.06895046290928965,0.3084291739928324,0.5892106321523893,0.4186885370391465,0.4957734634931081,"High Risk"
"BBB+",1757.4,1586.9,2508.2,6369.5,0.455416846,1.36,-333,19674.2658,3484.5,-461,692.6,-10.213213213213214,0.3097357223718625,0.07599722729850651,0.8550160552690474,-7.169969969969969,0.8550160552690474,"Medium Risk"
"B+",259.1,269.843,459.865,73.398,0.128773345,0,826.669,645.3819,2095.488,-5.756,231.706,1.2636036914411937,0.10101545911659625,0.22472697086824558,0.6599875007812013,0.4829308949531191,0.3238547590775577,"High Risk"
"BBB+",3701,4899,8998,7573,0.326578228,2.01,7005,45690.8256,15001,-430,2678,1.203283369022127,0.22349452554744526,0.09389671361502347,1.1096207215541165,1.2188436830835119,0.570613629355535,"Medium Risk"
"B",3.39,-981.096,-962.577,-637.886,-3.566882501,0,-197.602,243.6432,275.057,35.973,282.989,-4.290462647139199,-1.3367432164535489,-0.061019512871319424,0.04048244566515405,5.174254309166911,0.04048244566515405,"High Risk"
"BBB",1870,5051,12271,10714,0.170434607,0.62,28100,70848.6797,29636,-5883,-2155,0.5180427046263345,0.08037490253488853,0.12730152445060383,0.22188645595957596,0.41380782918149467,0.09263846230060438,"Medium Risk"
"A+",4360.766,5146.174,10455.162,12058.036,0.156350116,2.12,6647.571,59079.1033,32914.424,-3202.296,889.841,0.0038490750982576945,0.2817342417285656,0.0028327841227288467,0.37615833829326567,1.5705863088938803,0.37615833829326567,"Low Risk"
"BBB-",532,878,878,560,0.22930269,1.54,2360,8829.4432,3829,641,884,0.9652542372881356,0.046605446148946336,0.16173120728929385,0.037602487984167376,0.31186440677966104,0.037602487984167376,"Medium Risk"
"A-",252,1213,2091,3425,0.231311976,1.29,1880,10794.696,5244,-492,243,0.8936170212765957,0.16416294491812153,0.05028854080791426,0.5421781143901802,1.0797872340425532,0.06581352833638025,"Low Risk"
"A-",1.365,51.715,51.715,95.644,0.273798179,0.66,214.489,348.6246,188.88,-0.897,58.124,1.0377874856053224,0.10711341615472883,0.24420380933964997,0.07878390201224848,0.1822284592683075,0.029855643044619424,"Low Risk"
"BBB",411,1802,3223,1365,0.041468185,1.44,6652,9728.7392,43455,360,970,0.44107035478051715,0.10054681397165495,0.14705882352941177,0.5876611639956622,0.4446782922429345,0.049524039040848296,"Medium Risk"
"BBB",1459.3,2368,4921,8018.7,0.394811431,0.88,9889.4,20794.993,5997.8,7139.8,7956.5,1.1685542095577082,0.08699645474751556,0.12103040540540541,0.6431466278707263,0.46862297004873904,0.25274515916727286,"Medium Risk"
"BB+",2.8,330.9,1060.8,440.8,0.0502254,0,314.5,1673.2538,6588.3,-93.6,61.8,2.990143084260731,0.1435014527950041,0.19129646418857663,0.8753568030447193,3.1717011128775843,0.0026641294005708845,"High Risk"
